stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,location_type
101,101,Est. Pacho Galan,10.915247,-74.79922,,1
102,102,Est. Pedro Ramaya,10.921185,-74.799265,,1
103,103,Est. Joaquin Barrios Polo,10.932678,-74.799372,,1
104,104,Est. Buenos Aires,10.941537,-74.79964,,1
105,105,Est. La Ocho,10.946562,-74.799847,,1
106,106,Est. La Catorce,10.954782,-74.796685,,1
107,107,Est. La Veintiuna,10.960322,-74.793867,,1
108,108,Est. Atlantico,10.968535,-74.790495,,1
109,109,Est. Chiquinquira,10.976947,-74.787958,,1
110,110,Est. La Arenosa,10.981927,-74.786448,,1
201,201,Est. Parque Cultural del Caribe,10.985792,-74.777985,,1
202,202,Est. Barrio Abajo,10.98691,-74.783718,,1
203,203,Est. La Catedral,10.988238,-74.788445,,1
204,204,Est. Alfredo Correa de Andreis,10.990375,-74.795923,,1
205,205,Est. Esthercita Forero,10.992468,-74.802465,,1
206,206,Est. Joe Arroyo,10.994833,-74.807445,,1
2102,2102,Calle 45D Frente Nom 1 -101,10.931347,-74.800533,,0
2103,2103,Carrera 1E Frente Bloque 159,10.931865,-74.802072,,0
2104,2104,Avenida las torres Frente Nom. 45H-42,10.930277,-74.802065,,0
2105,2105,Avenida las torres Nom. 41C-93,10.929695,-74.796522,,0
2106,2106,Avenida las torres Nom. 56A-93,10.929483,-74.79439,,0
2107,2107,Avenida las torres Calle 44B,10.929922,-74.798772,,0
2108,2108,Avenida las torres con calle 54 D,10.929482,-74.791593,,0
2109,2109,Avenida las torres Nom. 48-25,10.930147,-74.78906,,0
2110,2110,Avenida las torres Nom 44-33,10.930925,-74.78645,,0
2112,2112,Calle 30 ITIDA,10.930997,-74.780267,,0
2113,2113,Calle 30 carrera 30,10.927345,-74.77786,,0
2114,2114,Carrera 30 Calle 29,10.928045,-74.774838,,0
2115,2115,Carrera 30 Calle 27,10.927622,-74.772903,,0
2116,2116,Carrera 30 Nom 24-151,10.926817,-74.76981,,0
2118,2118,Carrera 30 Nom. 18-53,10.926412,-74.76464,,0
2119,2119,Calle 18 carrera 27,10.924445,-74.763768,,0
2120,2120,Calle 18 No. 25A-16,10.92153,-74.763537,,0
2121,2121,Calle 18 No. 23-37,10.919673,-74.764115,,0
2122,2122,Calle 18 No. 21-37,10.917542,-74.765113,,0
2123,2123,Carrera 19 Frente Nom. 20-19,10.916582,-74.7671,,0
2124,2124,Calle 23 Carrera 19A esquina,10.917762,-74.768873,,0
2125,2125,Calle 23 No. 22-36,10.920545,-74.768107,,0
2126,2126,Calle 23 No. 25-40,10.922783,-74.767398,,0
2127,2127,Carrera 26 No. 24A-32,10.923965,-74.768765,,0
2128,2128,Carrera 30 Calle 27 Esquina,10.927552,-74.772697,,0
2129,2129,Carrera 30 29C- Esquina,10.927883,-74.775767,,0
2130,2130,Carrera 30 Calle 30,10.92744,-74.77775,,0
2131,2131,Calle 30 Entrada al Tucan,10.930023,-74.779742,,0
2132,2132,Calle 30 INEM,10.93168,-74.78023,,0
2133,2133,Avenida las torres Circunvalar Iglesia,10.931798,-74.784507,,0
2134,2134,Av. Las Torres  Colegio Olga Castellano de Levolo,10.930985,-74.787303,,0
2135,2135,Avenida las torres Calle 54,10.929845,-74.790683,,0
2136,2136,Avenida las torres  56A-12,10.929528,-74.793657,,0
2137,2137,Avenida las torres 41C-92,10.929863,-74.796545,,0
2138,2138,Avenida las torres 43-76,10.930047,-74.798235,,0
2139,2139,Avenida Las Torres Calle 45,10.930197,-74.799847,,0
2140,2140,Calle 47 con carrera 6D sur,10.928177,-74.805123,,0
2141,2141,Carrera 1E No. 45H-41,10.93184,-74.801897,,0
2145,2145,Carrera 30 Con Calle 25,10.926667,-74.768853,,0
4080,4080,Via 40 Calle 83 - 53,11.025298,-74.802958,,0
4676,4676,Carrera 46 No 76 - 109,10.997287,-74.810998,,0
4680,4680,Carrera 46 No 80 - 211,11.000155,-74.816007,,0
6480,6480,Carrera 64 No 80 - 90,11.01145,-74.807532,,0
6584,6584,Carrera 65 No 84 - 52,11.013717,-74.810343,,0
6585,6585,Carrera 65 Calle 85 Conj. Villa Andalucia,11.015947,-74.811937,,0
7668,7668,Calle 76 Cra 68 Zoologico,11.010262,-74.797417,,0
7951,7951,Calle 79 No 51-62,11.002337,-74.809367,,0
7953,7953,Calle 79 No 53-54,11.004785,-74.807912,,0
8072,8072,Calle 80 No. 72 - 43 Esquina,11.016795,-74.805148,,0
8075,8075,Calle 80 No 75 - 25,11.01863,-74.804693,,0
8078,8078,Calle 80 No 78- 19,11.02025,-74.803633,,0
8246,8246,Calle 82 Cra 47 Esquina,11.00098,-74.816577,,0
8251,8251,Calle 82 Con Carrera 51 Esq,11.004838,-74.814117,,0
8252,8252,Calle 82 No 52 - 61,11.005705,-74.813603,,0
8259,8259,Calle 82 Cra 59B Esq.,11.011138,-74.810875,,0
8447,8447,Calle 84 No 47 - 54,11.00277,-74.818557,,0
8452,8452,Calle 84  No 52 - 76,11.00711,-74.816629,,0
8455,8455,Calle 84 No 55 - 82,11.00856,-74.814133,,0
8459,8459,Calle 84 No 59 - 40,11.011007,-74.81163,,0
8579,8579,Calle 85 No. 78D - 26 ,11.024627,-74.805728,,0
8673,8673,Calle 86 No 73 -218,11.020403,-74.809663,,0
8675,8675,Calle 86 No 75C - 146,11.021702,-74.807692,,0
9156,9156,Carrera 54 calle 75-56,11.002463,-74.80423,,0
9157,9157,Carrera 54 calle 74,11.000818,-74.803025,,0
10101,10101,Carrera 41 Con Calle 45 Domesa,10.981627,-74.78725,,0
10108,10108,Carrera 43 No. 39-26,10.98196,-74.781695,,0
10109,10109,Carrera 43 No. 43 - 16,10.982552,-74.784433,,0
10110,10110,Carrera 43 No. 45-68,10.983073,-74.786588,,0
11118,11118,Carrera 14 con calle 47,10.908438,-74.784507,,0
11202,11202,Carrera 8 No. 42-127,10.946107,-74.798475,,0
11203,11203,Carrera 8 con calle 41 esq,10.946113,-74.795858,,0
11204,11204,Carrera 8 No. 36B-125,10.945887,-74.793093,,0
11205,11205,Carrera 8 con calle 35A esq,10.94619,-74.790928,,0
11208,11208,Carrera 6B con calle 34C esq,10.942427,-74.788677,,0
11211,11211,Calle 41 No. 6B-32,10.94187,-74.795853,,0
11212,11212,Calle 41 No. 7D-04 Tienda La Milagrosa,10.943802,-74.79617,,0
11213,11213,Carrera 8 No. 40-32,10.946245,-74.795742,,0
11214,11214,Carrera 8 con calle 42B esq,10.946242,-74.797833,,0
11215,11215,Carrera 8A No. 44-52,10.946755,-74.79941,,0
11301,11301,Carrera 2E No. 44B-13,10.934835,-74.798927,,0
11302,11302,Carrera 2B No. 42A-05,10.934503,-74.797133,,0
11303,11303,Carrera 2 con calle 41B1 esq,10.934665,-74.795345,,0
11304,11304,Carrera 2 Calle 37 E - 23,10.934828,-74.792567,,0
11305,11305,Calle 37C Con Carrera 2 Esq,10.934685,-74.791298,,0
11306,11306,Calle 37C con Carrera 3A,10.937258,-74.791567,,0
11307,11307,Carrera 4 con calle 36 Esq,10.938947,-74.790488,,0
11308,11308,Carrera 4 con calle 34B Esq,10.939295,-74.788622,,0
11310,11310,Carrera 4 con calle 30,10.939838,-74.783297,,0
11311,11311,Carrera 2 con calle 30,10.937722,-74.782895,,0
11312,11312,Carrera 2 con calle 33A esq,10.936585,-74.78478,,0
11313,11313,Carrera 2 con calle 34 esq,10.935955,-74.786967,,0
11314,11314,Carrera 2 con calle 35A esq,10.935437,-74.789325,,0
11315,11315,Calle 37C Carrera 2 Tienda El danubio,10.93562,-74.790987,,0
11316,11316,Calle 37C con Carrera 1H esq,10.932828,-74.791708,,0
11317,11317,Carrera 1H con calle 41B esq,10.933708,-74.79478,,0
11318,11318,Carrera 1H No 41B - 236,10.933242,-74.796837,,0
11319,11319,Carrera 1H con calle 45 esq,10.932732,-74.798927,,0
11320,11320,Carrera 4 con Calle 31-88,10.939613,-74.786048,,0
11350,11350,Calle 49 con Carrera 8B sur Cayenas,10.924822,-74.811538,,0
11351,11351,Calle 49 con Carrera 12 sur,10.923305,-74.812088,,0
11352,11352,Av.Circunvalar con Calle 51B,10.922777,-74.814132,,0
11353,11353,Calle 51B con Carrera 10 Sur,10.925147,-74.81477,,0
11354,11354,Carrera 10 Sur con Calle 50A,10.924185,-74.812707,,0
11355,11355,PASO Cayenas fren. Nom 8B sur - 24 ,10.924512,-74.811633,,0
16102,16102,Carrera 20 Con Calle 46 Tienda El Bacano de la 20,10.96147,-74.796142,,0
16103,16103,Calle 47 No. 19-11,10.961548,-74.798068,,0
16104,16104,Calle 47 No. 16-167,10.960532,-74.800138,,0
16105,16105,Calle 47 No. 14-67,10.959108,-74.802737,,0
16106,16106,Calle 56 con carrera 13,10.957392,-74.804908,,0
16107,16107,Calle 56 No. 11-15,10.956028,-74.806272,,0
16108,16108,Calle 56 No. 10-03,10.954745,-74.807568,,0
16109,16109,Calle 56 No. 9-29,10.951748,-74.810507,,0
16110,16110,Calle 56 con carrera 8 esq,10.949843,-74.812363,,0
16111,16111,Carrera 6 Con Calle 60 Carrefour,10.948098,-74.814838,,0
16112,16112,Carrera 6 Con Calle 72,10.947553,-74.816358,,0
16113,16113,Carrera 6 con calle 74,10.946745,-74.818727,,0
16114,16114,Carrera 6 No. 76-80,10.945462,-74.822432,,0
16115,16115,Carrera 6 No. 91-44 Compra-Venta E. Jimenez,10.944605,-74.825053,,0
16116,16116,Carrera 6 con calle 98C,10.943733,-74.829087,,0
16117,16117,Calle 99B con carrera 5B,10.9426,-74.83045,,0
16120,16120,Carrera 6 con calle 99B Frente a Bloquera,10.943315,-74.830665,,0
16121,16121,Carrera 6 Con Calle 98B Equipos Universal,10.943858,-74.82809,,0
16123,16123,Carrera 6 No. 75B-77 Compra Venta,10.94586,-74.821138,,0
16124,16124,Carrera 6 No. 73C-05,10.947207,-74.817115,,0
16125,16125,Carrera 6 No. 60-155,10.947785,-74.815433,,0
16126,16126,Calle 56 No. 5C-02,10.948907,-74.813315,,0
16127,16127,Calle 56 No. 8E1-68,10.951723,-74.810458,,0
16128,16128,Calle 56 Con Carrera 9D Olimpica,10.954148,-74.808147,,0
16129,16129,Calle 56 Con Carrera 10B Uniapuestas,10.955238,-74.807072,,0
16130,16130,Calle 56 No. 11-34,10.95657,-74.80575,,0
16131,16131,Calle 56 No. 13B-60,10.958407,-74.803655,,0
16132,16132,Calle 47 No. 16-12 Central de Materiales,10.95987,-74.801403,,0
16133,16133,Calle 47 No. 18-122,10.961202,-74.79871,,0
16134,16134,Calle 47 No. 20-82 AOTEC,10.962427,-74.796127,,0
16201,16201,Calle 90 No. 5D-11,10.944412,-74.824035,,0
16202,16202,Calle 90 No. 5-05,10.94277,-74.824012,,0
16203,16203,Calle 90 No 4-15 Iglesia Cristiana ,10.94071,-74.824082,,0
16204,16204,Calle 90 No. 3-23,10.93868,-74.824063,,0
16205,16205,Calle 90 No. 2-21 Drogueria la Redonda de la 90,10.936555,-74.824082,,0
